Type;Date;Time;Account;Amount;Amount_LCY;Currency;Category_1;Category_2;Category_3;Payee;Payment_type;Payment_Status;Labels;Notes
Expense;2022-02-11;07:00;AirBank - Společný;319.0;319.0;CZK;Life & Entertaiment;TV&Audio Streaming;Televize;Netflix;Debit card;Reconciled;['Byt - Těsná'];
Expense;2022-02-11;11:16;KB - Personal - účet;129.0;129.0;CZK;Food & Drinks;Work;Oběd;re.Set;Debit card;Cleared;[];
Expense;2022-02-11;11:16;KB - Personal - účet;213.0;213.0;CZK;Food & Drinks;Občerstvení;Jídelna;re.Set;Debit card;Cleared;[];
Expense;2022-02-11;15:44;CZK;20.0;20.0;CZK;Life & Entertaiment;Health care, doctor;Veterinář;Veterinarni ordinace - Boris Seman;Cash;Reconciled;['Schampy'];Recept na leky
Expense;2022-02-11;15:55;AirBank - Společný;229.2;229.2;CZK;Shopping;Drug-store, chemist;Léky;Dr.Max;Debit card;Reconciled;['Schampy'];
Expense;2022-02-11;15:58;KB - Personal - účet;850.0;850.0;CZK;Shopping;Gifts, joy;Květiny;Kvetiny Flamengo;Debit card;Cleared;[];
Expense;2022-02-12;10:51;KB - Personal - účet;533.0;533.0;CZK;Food & Drinks;Občerstvení;Kavárna;Gimmi;Debit card;Cleared;[];
Expense;2022-02-12;10:51;KB - Personal - účet;67.0;67.0;CZK;Financial expenses;Financial Expenses;Tuzer;Gimmi;Debit card;Cleared;[];
Expense;2022-02-13;10:52;AirBank - Společný;54.8;54.8;CZK;Shopping;Drug-store, chemist;Drogerie,_Hyg._potřeby;Kaufland;Debit card;Reconciled;[];
Expense;2022-02-13;10:52;AirBank - Společný;757.15;757.15;CZK;Food & Drinks;Groceries;Potraviny;Kaufland;Debit card;Reconciled;[];
Expense;2022-02-13;10:54;AirBank - Společný;164.0;164.0;CZK;Shopping;Drug-store, chemist;Léky;Benu lekarna;Debit card;Reconciled;[];
Expense;2022-02-13;18:06;AirBank - Společný;379.8;379.8;CZK;Food & Drinks;Groceries;Potraviny;Kaufland;Debit card;Reconciled;[];
